storyid,storytitle,sentence1,sentence2,sentence3,sentence4,sentence5
9cb0eb6e-d9c1-4f07-babd-cf1a621318e9,A Contact With an Old Acquaintance,A girl I used to babysit for contacted me through social media.,"She's no longer a little girl, but is in her 30s.",She told me she loves the Beatles because I often played their music.,"I don't even remember this, and it touched my heart that she said so.",It's amazing we can have an influence through the little things we do.
9ac07bfe-5dfe-4614-8474-dec4b299914a,Proposal,John and Cathy have been dating for 2 years.,They really love each other.,John decides he wants to marry Cathy.,He buys a diamond engagement ring.,Cathy answered yes when John asked her to marry him.
11432c9b-5ba2-4436-902e-b81e144b009d,Dawson's Ranch,Chad was looking for a self-storage unit.,He found one in his town that let him purchase a rental online.,Chad put in his credit card information with trust in his heart.,He got an email confirming his rental.,Chad was very happy with his new storage unit.
9df8a3c7-20ff-48f9-830a-50f783485d27,Kite Love,Barry loved making kites in his spare time.,Barry decided to make kite making into a business.,Barry was amazed by the number of orders he received.,Barry ensured that each kite was made with love and care.,Barry was glad he could turn his hobby into a passion.
37deffe8-8ae7-4181-8610-31ec50fa06eb,Sunglasses,Kate was going to Target to buy home supplies.,She saw the dollar section and decided to browse.,She found toys and things for kids to enjoy.,She decided to buy a pair of the sunglasses for niece and nephew.,Kate was certain the kids would love them.
c3ee89aa-d08d-4598-a011-37aebdd66572,New Hairstyle,Barry wanted to switch up his hairstyle.,Barry was tired of wearing his hair in cornrows.,Barry decided it was time to cut his cornrows off.,"Barry was scared of the change, but decided to embrace it.",Barry was disappointed that he cut his hair off.
ed5aa872-0239-4039-9669-565041d36a76,Plane Pictures,Kate was going on vacation.,She was staring out the window as the plane soared.,She realized her niece and nephew had never been on a plane.,She decided to take pictures on her phone to show the kids.,She was sure the kids would love the pictures.
84e13cd6-7512-44bb-8ea6-d7f82da0f467,Heart Attack,Ryan had a heart attack.,He was kept in the hospital for days.,They ran lots of tests on him.,Then they said he was healthy again.,"Finally, Ryan could go home!"
01e496ed-7b24-4644-9c68-ffc7276817d6,Looking For A Connection,I posted an ad to Craigslist that I was looking for a connection.,"As an 18 year old single mother with two kids, it's hard to find them.",I was very excited when a man responded to my ad.,However the jerk asked me for nude pictures!,I told him no because I'm a lady with self-respect!
ae4ddd09-40cf-4c5d-9f49-d216271238dd,Keith tries out,Keith always wanted to belong.,He decided to try out for the swimming team.,He was nervous and just wanted to be apart of something.,Keith swam his heart out during the tryout.,Keith ended up making the swim team and felt very accomplished.
1e0f8a19-fc39-489b-8342-709703d95d19,Marks heartbreak,Mark was so in love with his girlfriend.,Mark was going to propose to her tonight.,He took her out to the nicest place in town.,Mark got down on one knee and ask her to marry him.,She said no she stopped loving him months ago.
6a10f4af-4040-46d8-9f57-d3f3a44426af,Making the Team,Today was the day of football tryouts.,Jeremy was hoping to make the team.,He play his heart out on all the drills.,The moment came when names were being called.,Jeremy heard his name and was over the moon.
124dd86a-c5d7-48bf-a8bf-d4a3a6c7a8a6,The Hen,Emma bought a hen for her new farm.,She waited patiently for her to lay her first egg.,"Soon, Emma found an egg waiting in the coop!",She took it inside and set it on the counter.,She didn't have the heart to crack it so she kept it for weeks.
86146266-6369-4aae-bfdb-0ecd59e25e24,Mitchell's Dad,Mitchell is close to his father.,Mitchell's father suffers a heart attack.,After a few days in the hospital he dies.,Mitchell organizes the funeral for his father.,Mitchell delivers a moving eulogy for his father at the funeral.
090f0b30-60e3-4180-8890-cdfec770fbb4,Borderlands,All of the people in my house like the game Borderlands.,Unfortunately we only had two computers and there were three of us.,We spent a while occasionally tinkering with spare parts.,Eventually we combined two broken PCs to make one working one.,We all really love playing Borderlands together now.
07df1c5e-d815-479c-99bc-c22969202298,Waiting for Bertha,Hubert took his smartphone out to check out his mail.,"He perused through fifty emails, but none were from Bertha.",He sat on a bench waiting for her email.,"Four minutes later, Bertha's email appeared and he smiled widely.",He pocketed the phone and continued his walk with a light heart.
594eb905-2291-4378-b1fb-26c9972e485a,Fire Sale,Bob was moving into an apartment.,He was a musician by trade with a lot of equipment.,"It broke Bob's heart to sell it, but that's what he tried to do.","When no one was interested in his old amps, he donated them.",Bob felt very sad not to have his musical gear any more.
f7e2ef6f-aa03-40d8-850f-f8d5cebe1064,Love or faith,Martin was studying very hard to become a priest.,"As he had no intention to fall in love, it worked well for him.","But one day, while he walked down the street, a woman was crying.","Full of empathy, he went to console her.",And he knew he was in love when their eyes met.
f48947c7-e78d-4cc4-a50d-2b191afb0ea1,Internet Down,Bill was working at home on his computer.,All of a sudden his Internet connection went out.,He tried to restart his modem to no avail.,A few minutes later Bill's neighbor knocked on the door.,He said he accidentally cut the Internet cable with his mower.
248e390c-ee1c-4170-99ac-ebaaf7d4b632,Love Poem,"When Cathy reached home, she decided to check her mailbox.","There were the typical bills, along with other junk mail.","However, she noticed a pink envelope addressed from her boyfriend.","Upon opening, Cathy saw a card with the most beautiful love poem.",Cathy was moved to tears by the poem that her boyfriend sent her.
cfd764d6-b826-460a-994c-23972a7d3f13,Stan Gets Married,Stan was afraid that at his old age he would never find love.,One day a friend told him to try a singles event.,Stan met a beautiful woman there.,"After dating for a year, the decided to get married.",Stan was happy that he had found love.
17947cc6-b214-4f77-a975-d78bf7669643,The Movies,Jeremiah had a fond love of going to the movies.,Everything about the movies he loved.,"The popcorn, the trailers, all of it was part of the experience.",Jeremiah was always so happy going to the movies.,He loved it all.
c78c7020-b66a-4662-83b8-3df9c2ccd8cb,Writing stories,When I was younger I used to love to write stories.,My favorite story was one I had written about my dog.,In the story me and my dog went on adventures together.,I showed the story to all of my friends and they loved it.,I still really love writing stories and sharing them with others.
41e09084-b0f7-4483-98df-7f605eba41da,Wildlife Encounter,We were driving home when we saw a mound of something in the street.,We looked carefully and saw that it was a big turtle!,We got out of the car and tried to lure it to the side of the road.,It suddenly leapt up and snapped at my husband's foot!,"We love a turtle neighbor, but will be more careful next time!"
de75eebf-aa24-45b2-99e4-b7223ac20780,The Eater,The man ate the same meals every day for breakfast lunch and dinner.,He was at his favorite restaurant eating his same waffles and sausage.,He looked out the window and saw a young girl eating alone.,The man walked up to the girl and asked to eat together.,She ordered the same meal as him and he fell head over heels in love.
23cdde13-2ff5-46a7-9edf-8f8203203ee2,Baby,Kim had a miscarriage.,She was devastated.,After a few months she felt a little better.,Soon she conceived a beautiful new baby.,Kim loved her rainbow baby with all her heart!
17af3f4f-502d-4c69-abd0-919b3a9b17b9,Jan buys a puppy,Jan was looking around doing some shopping.,She wanted to buy something but didn't know what.,She saw a cute puppy staring at her through the window.,Jan fell in love instantly.,She went inside the shop and bought the cute Puppy in the Window.
de7ac4ef-3295-4106-87a5-53d2b1f5c4b3,love has many colors,John wanted to fall in love.,He went to a bar in hope of finding someone.,"At the bar, he found friends and talked to them all night.",When he went back home he was still alone.,But he realized that he was happy because he spent time with friends.
a9dda7c3-8ed8-4b82-b9e9-96c27e6e5807,Choral Music,I was introduced to choral music in 1978.,I went to choral concert in a church in my neighborhood.,When I heard the women sing my heart leapt.,"I was very moved, and attended lots of choral concerts that year.",I am still moved by oratorios and requiem masses.
b0484088-e919-45a7-a035-8a7e29613e36,Proposal,Mitch was in love with Samantha.,They had been together for over four years.,He was finally going to propose to her at the carnival.,When he got down on one knee Samantha ran to the closest trashcan.,She started throwing up so Mitch slipped the ring back in his pocket.
3a62238b-537d-49dd-bea6-f60b1df3abea,Sleeping Beauty,Daniel crept into the bedroom to check on his daughter.,She was sleeping peacefully in her crib.,"He knew he should let her sleep, but he couldn't help himself.",He tiptoed over and gave her a kiss.,"She opened her eyes and smiled at him, then went back to sleep."
a76882c7-d121-45a6-af95-63c5d5cc4975,Online Dating,Victoria was talking to a man she met on the internet.,They went out on several dates.,She thought they had a nice time together.,She began to worry when he stopped responding to her text messages.,"Victoria, although upset, gave up on the idea of that relationship."
2100227d-5119-41bd-b80b-b52fec9f87d9,My Soda Addiction,This morning I drank 5 diet sodas.,"I want to lose weight, so now I'm on my sixth soda.","I am avoiding calorie laden drinks, but I can't seem to stop diet soda.",It is making my heart race and I feel a little jittery.,I hope I can sleep tonight.
b1ba5c68-6625-48e2-9c83-30cc24b4776a,wishing upon a star,Bryan was looking up at the stars one night.,He thought to himself he must be doing something wrong.,He was looking for love but could never find the right girl.,He just wondered if he would ever find her.,He assumed he must be wishing on someone else's star.
ef516c12-9be8-494c-8388-06f074444d2c,Uncle Burie,My uncle Burie is a Viking descendant.,He owns a farm with lots of horses.,"When I was four, he let me ride his baby cow.",The cow was walking wobbly with me on his back.,"I fell in love with the cow, and wouldn't leave his side."
2547fe36-0422-43b3-a4a4-ef76b95ce6b8,Hockey game,Cathy recently fell in love with the sport of Hockey.,"However, Cathy loved hockey for one reason, the fights.",Cathy loved seeing the men fight one another on the rink.,"In addition, the excitement from the crowd during the fight was fun.",Cathy could not wait for the next hockey game so she can see a fight.
00147054-3609-4a9c-8a13-75b46b64affb,Music Teacher,Robin went to school for electrical engineering.,She realized after graduating that is was not the career for her.,She wanted to pursue her passion of music.,She went back to school and was certified to teach.,Now she teachers music to elementary schoolers.
46ef8582-f5a6-4988-a781-de4058bfd157,Test,Anna had a chest x-ray.,They were worried that she had a heart problem.,She was very nervous!,But the results came back normal.,Anna was so relieved.
f40d163c-15f1-47b3-9ffe-b3bc046fd1f4,Fluffkin,I bought a retro toy called Fluffkin.,I bought the purple haired doll home in its original box yesterday.,"I placed it on the mantle, hoping it would attract questions.","My children have fallen in love with it, and asked to play with it.","It ended up lying on the floor, covered in sticky stuff."
c0e6264f-c3ed-4d2f-96b9-2c6e62e3c678,The Cute Puppy,Lisa found an adorable puppy alone in the park.,She looked for his owner but to no avail.,She brought him home and made him a bed.,She quickly fell in love with the sweet dog.,He stayed at her house from then on!
dcce9c14-b498-4012-9fc1-301f2643faa2,A New Pet,Hanna went to an animal shelter to find a new pet.,She saw a white kitten and immediately fell in love.,The worker told Hanna that she was planning on adopting the kitten.,The worker ended up letting Hanna adopt it.,Hanna showed off her new kitten to her family.
1fd8b238-c112-452e-9550-54c7007dda13,The new Puppy,My wife had decided to surprise me with a puppy.,The puppy quickly grew and became my best friend.,As we grew older together the wife left me but I still had my friend.,Slowly but surely the puppy turned into a dog.,My heart broke when I had to take him to the vet for a final rest.
e8a00549-9f9b-470b-b81c-005148bfaf65,Keith is sad.,Keith and his wife of three years are getting a divorce.,Keith is miserable and can only think of his wife.,Thoughts rush through his head as he thinks about what he needs to do.,To make things work between him and his sweetheart.,Keith lays and bed and weeps he his so sad.
530bb128-00c8-43cc-8cef-a42685428a83,Be his valentine.,Lee really like a girl named Ines.,Ines however thought Lee was a weirdo.,Lee made an elaborate love letter for Ines.,He gave it to a surprised Ines.,"Unsurprisingly, Ines turned down poor Lee."
8b935e8f-7c3a-44df-bcc1-604996f3321c,Gift,"Carl just married his college sweetheart, Mary.",Carl didn't have much money but wanted to give Mary something special.,Carl secretly began working a second job to make extra cash.,"After a year of hard work, he felt ready to present his gift to Mary.","When Mary saw Carl's gift, and learned what he did, she wept."
7ba01f1f-7971-4154-93b0-dd5d9e619953,Softball isn't for girls,Joey loved to play softball.,He realized that most boys played baseball.,Joey had a love for the game ever since he was a young boy.,Joey thought it was wrong a boy couldn't play with girls.,Joey went to the league and demanded for equality to play!
30f959cf-ec8a-4be3-965e-66cd882a35ed,Romance in the Clouds,Amy and Seth were laying on the grass looking up at the clouds.,They were pointing out shapes to each other.,After a while Seth pointed out a heart but Amy couldn't see it.,He reached towards her to point her in the right direction.,When he did she kissed him for the first time.
74390983-2588-4bdd-b06d-6186dcad4b32,Molly and Devin,Molly and Devin love going on long walks.,Last week they decided to go on a walk together.,During their walk they saw a lot of squirrels.,They went home to tell their friends about all the squirrels they saw.,Molly and Devin had a great time out on their walk.
a9e5dfd1-2535-4bca-a883-c9867fd08f19,Spiritual awakening,Wade decided to visit Peru during his time off.,He took a plane and then went directly to Machu Picchu.,He stayed there a whole week and fell in love with the place.,"He was so moved by his spiritual experience, he decided to stay.","He wrote back home, resigned from work, and was very content."
e5336cff-8a45-4c9b-b1b9-2888627606e3,Dans big promotion,Dan had worked at the firm for 10 years.,He poured his heart and soul into his work.,This was his dream career.,Dan got a call from his boss.,It was time he got promoted!
e320ea41-cbea-4523-99bf-99c8967a7e6d,Ballerina,Ana took a ballet class.,She thought she would love dancing.,But the class did not meet her expectations.,She did not like it at all!,Ana decided dancing was not for her.
d7f9f9bb-ea63-4adc-8748-51c2bb6babb0,My Furry Surprise,I wanted a new kitten.,My husband told me no because we didn't have money.,I was very upset because I love cats.,"On my birthday, he surprised me with a kitten of my own!",I was overwhelmed with joy.
6ec8ae2f-2ca9-40ee-abe9-4b198659a796,Weird Dog,My dog is a little strange.,He craves affection constantly.,"Any time I pet his head, though, he growls at me.","At the same time, he wiggles in closer for more head pets.",I do not understand my crazy dog.
813fbed3-4072-4f83-b30a-cf5144c4256c,The Zoo,I decided I wanted to take my family somewhere special.,We all love animals so I decided the zoo was the perfect outing.,We walked around the entire zoo seeing all sorts of beautiful animals.,"We saw lions, monkeys, elephants, giraffes and so many others.",It was a very memorable day with the whole family.
a03c3efa-dc76-4a85-919a-3238ae0dfaea,Campaign,"As election cycles go, this was a rough one.",Ronald was sure he had it in the bag.,He campaigned his heart out all year long.,"On election night, he was delivered a crushing defeat.","He was flabbergasted, but he conceded nonetheless."
92b4797f-1020-4a96-9e9e-aa1eee65c763,Tonight's Game,"Tonight, Phil was going to confess his love to his crush.","They were both at a party, and everyone knew Phil was scared.",Phil approached his crush with flowers in hand.,"At first, she was confused, but then, she was happy.",She exclaimed that she would love a date with him.
38434d6d-362f-44ee-b985-77f097d1c308,Non-Kissing Cousins,Keenan and Liv were very close cousins.,Keenan had kept a huge secret from Liv though.,"One day, he told Liv that they weren't really cousins.",He then pursued her and told her he's in love with her.,"Liv was so freaked out, she cut off their relationship for good."
737ec818-db03-4207-980e-ff00f4204f75,My Pet Dilemma,I love my cat very much.,"One day, she started sniffling and sneezing.",I didn't have any money to pay for a vet appointment.,The vet's office offered me a payment plan.,My cat got the antibiotics she needed.
8f5b7b2b-f0a5-4a67-a411-02e679aff300,Halloween on the street,Felicia was walking down the street when a man bumped into her.,He was scary looking and she screamed when she looked at him.,People around her gathered in case she needed help.,The man removed his Halloween mask and smiled at her.,Felicia smiled too but her heart was still beating strong.
36ff6a33-0a10-4320-a4e4-cdbd7be080c8,Impressing Girls Is Easy,Jacque was the captain of a large cruise ship.,He wanted to impress his mistress with the hope of later intimacy.,Jacque steered his ship too close to the rocks along the coast.,The reef tore into it and sunk the boat killing many people.,Jacque lived because he was the first one to flee from it.
1baed6e5-1a84-40cb-9955-8ca141b22ab5,Therapy Time,The couple had been having problems.,They turned to their therapist to help them.,The woman helped them talk about their problems.,They learned a lot about each other.,Their relationship got a lot better.
10c92500-f1c2-4f19-9130-237fd62e2b9f,Rex wants to coach,Rex always had a love for the sport of football.,He knew he could never quite be a player.,He decided he wanted to coach the game.,He asked the local high school for an internship.,They granted his request and he started to coach the game he loved.
27509267-88d7-4c7f-a213-dcbe1b404db0,Haiti Welcome,Andy recently traveled to Haiti for a charity event.,"While there, Andy fell in love with the people and culture.",Andy decided that he would relocate to Haiti permanently.,"Once relocated, the local village he helped threw a party for him.",Andy was touched by the way the local villagers welcomed him.
5072f7bd-f5be-4dd6-a62f-fb00d6847e69,Andy's New Puppy,Andy recently felt he needed a walking companion.,Andy decided that he would adopt a dog.,Andy visited the animal shelter in search for a dog.,"Upon arrival, a black lab, jumped in his arms, and Andy fell in love.",Andy was excited to adopt the black lab.
9a47ee84-6b2d-4c99-b70c-35872159d806,A New Game,Kate had given her nephew a new Xbox 360.,She decided to purchase a new game for him as well.,But she wasn't sure what he would like.,Finally a friend suggested a game for pre-teens.,Kate was sure he would love the new game.
5234fdb4-eb08-4158-ae58-c1a5a9e8ef03,Liz's Passion,Liz hated her job as a manager at a shoe store.,"Her main passion was snowboarding, which she did on her days off.",She quit her job at the shoe store.,She found a job at a snowboarding supply store in Minnesota.,She's happy because she gets to spread her passion to others.
929ae416-74ee-467d-8a2a-25c7f3bf718d,In Love,Charlie met a great guy.,His name was Hank.,Charlie and Hank went on three dates.,Their relationship seemed great.,So they ran off and got married!
4b19e3f8-38d9-4e79-8c35-0f2f48973e7c,Proposal,Jack knew that Gloria was the perfect woman for him.,He went to the jewelry store and purchased a diamond ring.,"On their next date, he got down on one knee and proposed.","Gloria immediately said yes, knowing that Jack was also her soulmate.",The two were married just weeks later!
69765e96-2d75-4a98-8748-6e3208d3af42,Acne is no good,Herbert had terrible acne.,So no girl would talk to him to date him.,Herbert was losing hope in his love life.,His friend bought him state of the art anti acne cream.,So know Herbert has a chance with the ladies.
c30cdac6-f6fe-4f76-8fb5-1bb10a0fc033,Brad gets dumped,Brad was so much in love with his girlfriend.,Brad had dated her for years.,One day Brad was coming over to her house.,He knocked on the door with flowers.,She answered the door and tells him it's over.
2d56be6f-4d03-4aa1-b115-be70c5e24f56,Proud Pizzeria,Antonio dreamed of the day he would start a pizza company.,After working many years his dream finally came true.,He had a shaky start but the community came to love his pizzeria.,It made him happy that his dream was a success.,One day he will pass the business down to his family.
d90ac48c-0981-47c7-bb79-8d80d05a8b5f,First kiss,Terrance was secretly in love with a girl in his class.,"At the end of the year, he found the courage to ask her to the prom.",The girl was surprised but accepted his offer.,"When Terrence came to pick her up, he gave a her a flower.",She kissed him on the cheek and he was in heaven.
6e75eb19-e731-4044-9fe9-1eba4919b5f1,Volunteering Leads to Cat Adoptions,Sara thought volunteering at the humane society would be rewarding.,Her husband joked that they would wind up adopting way too many cats.,Sara's husband was right.,"They now have five cats, although they had agreed to only adopt two.","Sara and her husband love the cats, though, and are glad to have them."
a11243f7-23d1-4f46-b254-fcc03d0af2ee,Tobys big break,Toby had aspired to be the best singer.,He played many shows after shows.,He wanted to land a record deal.,One night Toby sung his heart out in front of a talent agent.,Toby was offered a contract to sign to a music label.
c50ffa13-0ee5-476f-ba35-1d23e77ab201,Maya's Fear,Maya was very afraid of skeletons.,"When Halloween happened, she felt very nervous.",Maya wanted to get over her fear of skeletons.,"So, Maya tried visiting the Paris catacombs to overcome her fear.",Maya was too scared of the skeletons and had a heart attack and died.
7efd9d19-35e0-485b-8724-16f40eba3f52,The perfect date,Jennifer and Pete were going to celebrate.,It was their second anniversary of being together.,Pete decided to take her back to where they first met.,They ate the same dinner and watched a movie.,Ended it by walking her home and gave her a kiss at her door step.
fea0d734-f565-42a5-85a8-9efcbb794710,The boat ride,Jennifer and Brad needed a getaway.,They decided to go on a cruise.,The cruise ship was massive in size.,The two rekindled their love on the boat.,It was the best boat ride ever for them.
7dac99a9-75b1-40bf-92d1-25814e1bf403,WWII Love Story,My grandparents met during WWII when they were serving in the Navy.,"They met at a movie theater in Washington, DC.","A sad film made my grandma cry, and my grandpa gave her a tissue.",They fell in love and corresponded by letter while he was at sea.,They were married two days after his ship returned to America.
184aa6be-f0dc-4f78-9bf3-2a28aff250f1,Relationship,My boyfriend always wants to talk about our relationship.,He says he is interested in working out problems.,"I think he just wants to argue, though.",I have started refusing to argue with him.,This has made him very argumentative.
d106f049-e5d9-4c9f-bc8c-14db50618f72,Barry's Illness,Barry didn't feel well.,He told his wife his chest hurt.,His wife rushed him to the hospital.,"At the hospital, Barry found out he had a heart attack.","Because he got there in time, Barry was able to make a full recovery."
249a0017-dfc3-4506-823a-bf2055dbb5c0,Luanne's engagement,Luanne has been single for years.,She has dated several different peodple.,She finally found her ideal man.,Luanne and this man fell in love.,He recently proposed to Luanne and she accepted.
8ae15a76-6f58-48da-aa09-686afd720231,Moving Away,Shelly moved across two states to be with the love of her life.,"She met him online, in a forum for Mturk.","Nobody believed them at first, until they moved in together last month.",They are planning to get married and start a new life together.,They're happy and content.
5f766dc3-2fd2-4491-9a84-b6d9c4071b2b,Val gets a taste of her own medicine,"Valerie played around on her boyfriend, Matt.","She fell for Tim, one of the many guys she'd cheated with.",She broke up with Matt and started dating Tim.,Tim had no respect for her or their relationship.,He cheated on her countless times and then broke up with her.
93db28cf-9cba-43e1-8940-98b0043c9483,City Councilman,Mark is interested in making his city better.,He has a relationship with the mayor from a past business endeavor.,Mark calls the mayor and asks how he can get involved with the city.,The mayor tells mark he should run for city council.,Mark runs for city council and is elected to manage the city parks.
4750c8c7-d9e1-47cb-8de2-dbe3845d4c5d,An Unlikely Pardon,Ivan is a ruthless tax collector in his neighborhood.,He is known for being a rough person to talk to even when not working.,Ivan had to collect from a very poor family one day.,He arrived outside their shambles of a home and had a change of heart.,He left without collecting after seeing how little the family had.
55e2226f-d3ce-4ade-a1ff-bf5cd11acaf1,Out of Breath,My coworker's boyfriend had diabetes and heart trouble.,He had trouble breathing.,His daughter was getting married.,They had to pick a quick song for his dance due to his breathing.,He died of a heart attack two years later.
3d883c3c-2ac2-48a4-85ea-9b3169af7473,dEsiGneR,I am tall and I like my pants to fit me just right.,I went to several stores but they did not carry Big and Tall.,I searched online but the prices were too high.,Frustrated I learned how to sew my own pants.,Now my pants fit me just right and I love how they look.
d8a6d5c5-1748-4855-b6a8-7f6796e2cdfe,Tracy E Warren,Doug met the love  of his life Tracy E Warren.,They dated on and off for about a year.,Doug begged Tracy to be his one and only.,Tracy agreed to be Dougs one and only.,They are no longer together because Doug cheated on Tracy E Warren.
7aec1a7f-d4c1-446f-ae01-264f2986651d,Broken Engagement,Chris fell in love with the woman of his dreams.,"He proposed to her, and she said yes.","However, it wasn't long until Chris found out that she was cheating.",Chris didn't tell her that he knew.,He simply moved out while she was at work and never told her.
6fbe4e7b-2ffb-4f67-a09c-50d8ec72d2ed,Ashley's Baby,Ashley met a nice young man and fell in love.,"She adored him, and soon married him.","After being married for some time, they decided to have a baby.","After several months, they were able to conceive.",Ashley had a baby girl that looked just like her.
ec2d8fa7-066a-48e1-af06-ebf304aa4986,Dog Blog,I love dogs.,I find it really enjoyable to ask people about their dogs.,I started a blog where I post pictures of myself with people's dogs.,I write an excerpt about the owner and dog.,"Now, I get sponsored doing something I enjoy."
dc64091d-26b9-452c-a4fb-b9863696e070,Viva Love,Nick and Jess have been in love with each other for years.,Neither of them knew it until now.,"In a crazy act of love, they drove to Mexico.",They didn't have any money.,Now they are beach bums in Mexico.
94a27548-0207-4752-b16c-87f3225a675e,Garden,Cath started a large garden in her backyard.,She spends every day tending to her vegetables.,Her produce reflects her passion.,Each veggie is large and ready to pick.,Cath is enjoying her harvests.
28d9d2de-3645-4d18-bc94-6338b7442b54,Cat Lady,Angela loves her cats.,She treats them like family.,Angela makes sure they live a happy life.,Her cats show her plenty of affection.,They love her too.
a8a21200-91e1-47d5-887a-1f1c35ef482f,Straw Wars,My parents are young at heart.,They enjoy having little fun moments.,"Every time we go to a restaurant, it begins.",It's a race to see who can get to their straw first.,Then they shoot the wrapper at each other.
01771bd4-ed59-46eb-b2de-c2d0de9911ad,Animals,Jenna loved animals.,Growing up she always had several pets.,She cared for each of them as much as she could.,"She fed them, washed them, and loved them.",So she took that passion and made it into her profession.
5f5f9157-407c-4755-903d-2997a85d6dd1,Neurosurgeon,Eric had spent many years looking for purpose in his life.,He came to the realization he wanted to help people.,He decided to combine that with his passion for the brain.,So he went to medical school to become a neurosurgeon.,Today he is one of the best neurosurgeons in the nation.
