storyid,storytitle,sentence1,sentence2,sentence3,sentence4,sentence5
1cd1a9e9-5967-4a94-8066-419f551c3e48,How Trip Met His Boyfriend,Trip loves to go fishing but he hates going alone.,He met a fellow fisherman at the local bait shop.,They went fishing together and had a great time.,Trip later asked his friend to meet up.,Now they're dating and Trip couldn't be happier.
aeada0a0-b9de-430e-a735-46682a462f21,The STained Glass,"Ever since she was a child, Julia had loved stained glass.",She bought some to put in her front window.,She thought it was beautiful!,There was a big storm and the window was shattered.,Julie was heartbroken!
a89f79df-70ce-4afe-8235-deae196fa7ce,Couple Therapy,Greg married the woman of his dreams.,But after a year they kept yelling at each other.,Greg proposed to consult a couple therapist.,The couple therapist helped them over many sessions.,Since then they have a strong marriage and are happy.
3ce44d83-9a1c-49ac-a8e1-bd4f331c98bd,Marcy's Life,My best friend was illegitimate and abandoned as a baby.,She grew up homeless and fell into prostitution at a young age.,"When she was 25, Marcy met Tom, a doctor.","Tom paid Marcy's way through nursing school, and she became an RN.","Marcy is now a happily married nurse to a doctor, with a real home."
3a7d2bf7-bbc5-4154-9adb-6ced0c6df9bd,The Vase,A vase set empty on Bonnie's table.,It never had anything in it.,Bonnie got married to Josh.,"When they came home from their honeymoon, Josh put flowers in the vase.",He said he would always keep it full of flowers for her.
6a694d01-d68b-499e-bf7b-b09372947fd2,At Last,Carol had been single for a long time.,She went on some blind dates but never connected with anyone.,Her friends suggested she try online dating.,She made a profile on a dating site and soon heard from Vincent.,"They've been together 8 years now, and she is glad she took a chance."
8a579444-7477-469e-8d1f-8917c60520ec,Done with dating,Brianna always looked out for the right guy.,She asked out all the guys she liked.,But they all rejected her.,Brianna gave up in dating.,Now she just waits for others to ask her out.
4d3bebbb-5ed6-4051-99bb-dbe581091b78,The Divorce,Tom and Linda had been separated for months.,Linda decided it was time to divorce.,Tom took the news poorly.,He wiped out his bank account and fled for Mexico.,Linda regrets ever marrying him.
2375626f-301b-4f37-92d9-58ce4a8cf88f,Marriage in Minnesota,Maria hated cold weather.,"Her job transferred her to bitter cold Minneapolis, Minnesota.",Her handsome co-worker Sven introduced her to skiing and ice fishing.,They had such a good time together that they dated and got married.,Now the cold weather in Minnesota doesn't seem so bad to Maria.
938f5b84-aeb4-4d68-bace-6799c321d4a8,Lonnie Loves Lorrie,Lonnie had the biggest crush on Lorrie.,Lorrie didn't know at the time.,One day Lonnie got the courage to ask her out.,Lonnie asked and she said of course.,The two became best friends and married each other.
e8a00549-9f9b-470b-b81c-005148bfaf65,Keith is sad.,Keith and his wife of three years are getting a divorce.,Keith is miserable and can only think of his wife.,Thoughts rush through his head as he thinks about what he needs to do.,To make things work between him and his sweetheart.,Keith lays and bed and weeps he his so sad.
47ce689c-2194-44b6-84f6-3ea66dca7a28,Legendary Death,Cathy is the self proclaimed biggest fan of Prince.,Cathy was so sad to see the news that he passed away.,Cathy decided she would go the record store and get his music.,"However, at the record store, they were sold out of his music.",Cathy was even more heartbroken that she could not buy his music.
276b295d-f302-4c4b-a5fd-9661119f8279,Soccer Blues,Cathy enrolled her daughter into a soccer league.,Cathy loved to watch her daughter play the game of soccer.,"However, Cathy's daughter did not like playing soccer.",Cathy's daughter decided she did not want to play soccer anymore.,Cathy was heartbroken that she would not see her daughter play soccer.
5a395069-8fd6-4478-86a5-b4f13d6f40ac,Bridal Shower,Brooke was getting married.,Her friends decided to throw her a surprise bridal shower.,Everyone waited for her to walk through the door.,Her face was of complete surprise when she walked through the door.,She was so happy to have a surprise bridal shower at work.
8b935e8f-7c3a-44df-bcc1-604996f3321c,Gift,"Carl just married his college sweetheart, Mary.",Carl didn't have much money but wanted to give Mary something special.,Carl secretly began working a second job to make extra cash.,"After a year of hard work, he felt ready to present his gift to Mary.","When Mary saw Carl's gift, and learned what he did, she wept."
ef340121-1ab8-45a8-96ab-08424e73a229,Reunion Lunch,I had lunch with my two of my high school buddies in February.,We graduated in 1971.,One of my friends told me his wife had just left him.,"They were married for 18 years, and he was devastated.",The tone of the lunch was sad.
42d1ed7d-2d66-479e-bd87-bbaa2723bbc5,The Liar,Lisa met a new friend at the park.,"At first, she thought she was a great girl.",But soon she realized that she lied constantly.,She even lied about being married!,Lisa avoided the girl the next time she saw her.
45c1be6f-911d-4697-ab0f-d7ecd522928e,Do It On The Beach,"Tom put on his least stained t-shirt, tucking it under his big gut.","He was in a jolly good mood, he told himself.",Tom only had to yell at his girlfriend twice on the way to the beach.,He spread out the ragged blanket the dog usually used over the sand.,"Done romancing his woman, Tom asked her to marry him."
07f68541-cc16-49cc-aa6b-146bb3e611f8,Pregnant!,Kay and Mike have been married for a decade.,They really want kids but have been unable to do so.,"They tried many different methods and treatments, but to no avail.","But yesterday, Mike came home from work and was met with some news.",Kay was finally pregnant!
929ae416-74ee-467d-8a2a-25c7f3bf718d,In Love,Charlie met a great guy.,His name was Hank.,Charlie and Hank went on three dates.,Their relationship seemed great.,So they ran off and got married!
4b19e3f8-38d9-4e79-8c35-0f2f48973e7c,Proposal,Jack knew that Gloria was the perfect woman for him.,He went to the jewelry store and purchased a diamond ring.,"On their next date, he got down on one knee and proposed.","Gloria immediately said yes, knowing that Jack was also her soulmate.",The two were married just weeks later!
c30cdac6-f6fe-4f76-8fb5-1bb10a0fc033,Brad gets dumped,Brad was so much in love with his girlfriend.,Brad had dated her for years.,One day Brad was coming over to her house.,He knocked on the door with flowers.,She answered the door and tells him it's over.
6de0f685-845a-4c0b-95c1-6ce4bf878643,Polyamorous,When gay people tried to get the right to marry I supported them.,But they said that their marriages wouldn't lead to polyamorous ones.,I feel like they are just as bigoted as those who hate gay marriage.,I don't know if I'll ever marry my boyfriend.,But not having the option and being seen as lesser does hurt.
5fc1b12c-b078-4832-869c-70964275149f,Successful Mediation for Shared Child Custody,Kathy and Bob decided it was time to get divorced.,"They disagreed about sharing child custody of their son, Don.",The two sought mediation services so they could resolve this problem.,"They negotiated, deciding Don would live with Bob three days per week.",The situation is satisfying for everyone concerned.
39e216db-1ab0-4740-8d37-0878a8170b6a,Lauren Buys A Blouse,Lauren noticed that her work clothing was becoming dated.,It was time for her to update her wardrobe.,Lauren went to the mall to buy a new blouse.,She found one that looked amazing on her.,Lauren was happy to be buying new work clothing.
b3d9471e-9c9e-4eb5-84da-4ed3d4a81fc6,Worth the Wait,Donna wanted to get married.,She'd been waiting for three years for her boyfriend to propose.,She decided to break up with him.,Donna's boyfriend was sad and finally asked her to marry him.,Now they've been married for thirty years!
a6ed4396-93e5-46e3-ae0e-598a0f556f45,Teen Mom,Nicole met her boyfriend while they were in high school.,"After a few months of dating, Nicole became pregnant.",Nicole and her boyfriend did not know what to do about the baby.,Nicole decided to keep the baby.,Nicole became a teen mom.
2d0d5096-b8c7-4c26-be91-a2229c2ca03e,Jeff gets drunk,Jeff was going through a bad divorce.,He found himself at a local Bar.,He swore he would stay sober no matter what.,30 minutes there his mood changes and has a drink.,By the end of the night Jeff is so drunk he gets kicked out of the bar.
3a861030-bc5f-4238-b3e1-9fb05229f70b,Rob and Janey,Rob joined a gym.,He started going so regularly that he made friends.,He met a girl there named Janey.,Janey and Rob started dating.,"Two years later, they got married."
7dac99a9-75b1-40bf-92d1-25814e1bf403,WWII Love Story,My grandparents met during WWII when they were serving in the Navy.,"They met at a movie theater in Washington, DC.","A sad film made my grandma cry, and my grandpa gave her a tissue.",They fell in love and corresponded by letter while he was at sea.,They were married two days after his ship returned to America.
8054be31-19b0-4e60-801c-5a16689bcc63,Jenn and Daisy,Jenn and Daisy are best friends.,Daisy gets engaged to her boyfriend.,Daisy asks Jenn to be her maid of honor.,They pick out a dress for Jenn to wear together.,Jenn stands next to Daisy when she gets married.
c9f80a6b-5de5-441a-8011-c74b730ca0df,Brother,My brother and I only lived in the same house until I was 14.,Our parents divorced and we went separate ways.,I've seen him about once every other year since.,He lives six hours away and is about to buy a house there.,"I am glad he is doing well, but I wish I knew him better."
249a0017-dfc3-4506-823a-bf2055dbb5c0,Luanne's engagement,Luanne has been single for years.,She has dated several different people.,She finally found her ideal man.,Luanne and this man fell in love.,He recently proposed to Luanne and she accepted.
8ae15a76-6f58-48da-aa09-686afd720231,Moving Away,Shelly moved across two states to be with the love of her life.,"She met him online, in a forum for Mturk.","Nobody believed them at first, until they moved in together last month.",They are planning to get married and start a new life together.,They're happy and content.
f0ea7069-3147-4dfc-9a99-f60d6b119339,Breakup,Sarah and Leo had been dating for six years.,They shared all the same friends.,They broke up causing a very awkward tension in the group.,Nobody knew whose side they should choose.,Luckily within a week Sarah and Leo were back together.
1c6c3933-c25a-4a86-b46c-417d4c38b748,Sandy's Love Life,Sandy recently broke up with her boyfriend.,She felt heartbroken and lonely.,She decided to try online dating.,Sandy selected a man online to go on a date with.,Their date went well and months later Sandy and the man got engaged.
9f2fa064-883d-4273-b1e3-1707fe475d8f,Divorce,Chloe has been married for several years.,One day she came home from work early.,She discovered her husband was cheating on her.,Chloe was very angry and heartbroken.,Chloe immediately filed for divorce.
099c487e-33d5-4d79-93a1-a67f8f9e7f1e,Jim learns a last lesson about love,"Jim's wife loved him very much, but he was a playboy.",He eventually ran off and married a younger woman.,"Years later, he got sick with cancer and couldn't work.","The young woman left him, saying she couldn't handle it.","As he lay dying, it was his first wife who visited and cared for him."
0ed793de-a43c-49b7-b3e1-7a45cdccfa0d,Mike's Choice,Mike was just beginning to date again after his divorce.,"He had dinner with Anne, a woman he met online.",They made plans to go out again the following evening.,He met Julie at a gas station and they struck up a conversation.,"He called Anne and apologized, adding he'd met someone else."
5f766dc3-2fd2-4491-9a84-b6d9c4071b2b,Val gets a taste of her own medicine,"Valerie played around on her boyfriend, Matt.","She fell for Tim, one of the many guys she'd cheated with.",She broke up with Matt and started dating Tim.,Tim had no respect for her or their relationship.,He cheated on her countless times and then broke up with her.
68c7cf29-f185-4371-88a3-fce7486ea503,Maggie's Past Comes Back to Haunt Her,Maggie had been in trouble with the law when she was younger.,"When she married and had a kid, she was a great mom.",She and her husband divorced and he filed for custody.,The judge held her past against her and ruled for the husband.,"Maggie, despondent, fell back into a life of crime."
a811f02b-3bc6-48e6-9e99-b4cc737e3e33,Minnie and Her Son,Minnie always dreamed of growing up and having kids.,"When she was old enough, she married a man from the neighborhood.","They had a son, and for years the son did everything she said.","When he became a teenager, he started to think for himself.",Minnie didn't like that and missed the days he was her little boy.
55e2226f-d3ce-4ade-a1ff-bf5cd11acaf1,Out of Breath,My coworker's boyfriend had diabetes and heart trouble.,He had trouble breathing.,His daughter was getting married.,They had to pick a quick song for his dance due to his breathing.,He died of a heart attack two years later.
d7dcdc3b-98a3-4b67-938e-7fd60e727014,Wedding Fight,My coworker got married in 1992.,He was 20 years older than his wife.,His bride had a large family.,"During the wedding, the bride's brother yelled at his ex-wife.",Luckily the wedding ended without fisticuffs.
afad5951-d5ff-4f43-8031-6e492aeffb4a,Grandparent Visit,My wife's boss is married.,Her husband Bob has a biological grandchild.,Bob's daughter does not let him see his grandchild often.,"Last week, he got to visit his grandchild, after a year.",Facebook photos showed him looking happy.
1ffb2975-4cae-4b6e-9c27-4a8d0e467484,Grief,My cousin's son got married in December.,Her mother and others attended the wedding.,Her mom Lee was still grieving for her husband.,I touched Lee's hand and said the Chinese are strong.,She broke down into tears.
5de8f1a6-625b-4501-8fa6-4a54b39cdad9,Toy,"My sister in law is married to Joe, a man 22 years older than she.",Her three sisters and their kids were at a cookout one day.,The kids were playing with an old toy on the lawn.,Joe yelled at the kids and took the toy away.,The sisters were not amused.
b30cef9a-d7a6-4459-90ce-c9f79b7451a2,Flirting,My friend Harry is unhappily married.,His wife lives in KY while he lives in MA.,Recently a waitress at the diner he frequents started flirting with him.,She gave her phone number.,He decided to not ask her out.
233c5be6-6367-4ed6-9f46-4367c70b4695,Smoker,My daughter's college friend Sharyn smoked a lot.,Sharyn's sister Sue got married shortly after graduation.,A year later Sue had a baby.,Sue told Sharyn she could not see the baby if she smoked.,Sharyn gave up smoking.
d49b5fd5-b073-4fc9-93da-efc8c869d194,Pass,My daughter's old college friend Sue is a lesbian.,She got married in 2014.,"Last year, my daughter heard from another friend, Sally.","Sally claimed Sue made a pass at her, despite being married.",My daughter said some of the group have started staying away from Sue.
41a9331e-f3c9-40ab-8a79-c93a203e9661,Inheritance,My friend's mother was disinherited.,She was a Pole who married an Italian.,Her father was very well to do.,"Later in life, he reconciled with his daughter.","When he died, he left her $1,000,000."
140c86c2-222e-46ee-b2bd-e6dc4f7b0f3e,Big Change,My coworker Sheila was thin when she started in 1985.,She was attractive and dated several men.,In 1990 she married and left our workplace.,"She came by to visit in 1995, 40 pounds heavier.",Her old boyfriends were shocked.
19c72f14-a483-47a5-ac93-364c0a000037,Linda,Our coworker Linda was married.,She was told she could never have children.,She overate to compensate for her sadness.,"One day, she got pregnant, and had a normal baby.","She had another one a few years later, and is very happy."
ce4febf1-bc41-4462-8647-2a08582e75db,Mao Jacket,We got married in 1981.,We honeymooned in Niagara Falls.,There were a lot of international tourists about.,"One day, I wore my Mao jacket.","A Chinese man came over a smiled at me, in recognition."
05c01416-9a53-4363-aedb-666946153b97,Fly Robin Fly,Doug was in horrible marriage to Robyn.,Doug filed for divorce because he was unhappy.,Robyn started dating a new man.,Doug got the divorce and went out to celebrate.,Robyn went out with her new boyfriend and he murdered her.
26e07fc3-e343-4eb9-8ef9-df78d7162dec,Love,Doug wanted to be with Nelson but he had a problem.,Doug was still married to Robyn who hated his guts.,Doug pleaded with Robyn for a divorce but she said no.,Doug pleaded with Nelson to wait and asked him to be patient.,Doug is now with Nelson because they killed Robyn.
d8a6d5c5-1748-4855-b6a8-7f6796e2cdfe,Tracy E Warren,Doug met the love  of his life Tracy E Warren.,They dated on and off for about a year.,Doug begged Tracy to be his one and only.,Tracy agreed to be Dougs one and only.,They are no longer together because Doug cheated on Tracy E Warren.
14b36571-8e22-4e5c-97ae-75d6f82d160e,Mail Order Bride,Ed was a lonely middle aged farmer who had never married.,A friend once told him about mail order brides.,"Ed decided to look into it, and found a bride he wanted.",He paid for the woman to come to him and married her.,"Ed surprisingly loved his wife, and the two lived happily together."
2740975a-7670-43ed-8c6c-db8666b00310,Too Many Kids,"Frank loved women, and women loved Frank.",Frank married several times and had many kids.,"By the time he turned 40, he had 13 kids.",Frank couldn't afford to pay his child support any more.,Frank left the country and was never to be heard from again.
6fbe4e7b-2ffb-4f67-a09c-50d8ec72d2ed,Ashley's Baby,Ashley met a nice young man and fell in love.,"She adored him, and soon married him.","After being married for some time, they decided to have a baby.","After several months, they were able to conceive.",Ashley had a baby girl that looked just like her.
de2c2fde-bbe3-409d-9366-606da5fa38de,Rocky Relationship,Benna dated Moe for several years.,"They had a son, Moe Jr, together.",Moe became angry and even violent at times after Jr's birth.,"Benna hoped that he would change, but he never did.",Benna finally got the courage to take her son and leave Moe.
8b93d6df-3399-4e5b-ba64-f87a0ab43c80,Chatty,Lee's wife annoyed him by talking all the time.,In his culture divorce was considered very taboo.,He beat his wife to give her a valid reason to leave him.,He saved face but ended up in a nice quiet jail cell.,Lee's brother took over his restaurant for him.
40619863-3c05-4336-b655-a9f639bded6f,The Ring,The day was finally here.,John was nervous.,He was going to ask his girlfriend to marry him.,He got down on one knee.,She said yes!
30375e0a-21b1-4052-9198-c81422f2b09b,Imperfectly Perfect,Pam and Jim are getting married today.,Pam accidentally tore her veil.,She called Jim crying before the wedding.,Jim cut half of his tie to match.,Pam and Jim had the perfect wedding.
796a8b72-2f50-4c45-bd83-2b223e8fd4f2,Girlfriend,I asked a girl out a few months ago.,She said yes and I was extremely happy!,We had a lot of fun times and ultimately decided on dating.,Things were kinda rough for awhile but it sorted out.,She ended up becoming my girlfriend and I'm extremely happy for it!
9edf60c8-552e-4d16-b63e-ca1b63a30df8,Dan,"Keli's mom got a new boyfriend, Dan, three years after her divorce.",Keli loved her dad even though he had moved across the country.,She was determined not to let Dan take her dad's place.,"But gradually, Dan became a friend to Keli: kind, but not pushy.","Soon, Keli decided Dan was a pretty good guy, after all!"
d1be12c4-e846-4f1a-8ae8-caf1c64e3da4,Propose,Kyla had been dating Ron for three years.,One night he took her out to dinner.,"After eating, he got on one knee and proposed to her!",Kyla was ecstatic and agreed at once!,"She and Ron were both so happy, they almost cried!"
744797f5-a7e4-4a18-b7e6-af597f1b4e10,Church love,Fred was a very religious person.,He would go each week to church.,Fred was hoping that one day he would find a wife.,He met a lovely lady at church one weekend.,They dated for a year and then got married.
db99921d-e8f0-4520-ad19-252b1438b08e,Proposal,Ryan dated his girlfriend for several years.,"After they moved in together, he realized he wanted to marry her.","Ryan bought a large, impressive engagement ring.",He planned a surprise proposal.,Ryan's girlfriend was surprised and accepted his proposal happily.
738820b4-eabf-43e0-92ea-38e1ba61fa78,Joy's Suspicions,"Joy was happily married to her husband, Bill.",Bill started coming home late from work.,Joy suspected he was lying about working.,She followed him one evening when he said he was working.,Joy discovered Bill was having an affair.
31bc9d81-e5b6-4856-98a7-94360fba0ad5,Unhappy Marriage,Greg had been married for several years.,He was not satisfied with his life.,He decided that he was going to look outside of his marriage.,Greg made a move on his secretary.,Greg is now cheating on his wife.
b7d4a5b0-5020-4571-9879-1e43e4484cae,Erin the Boss,Erin is the boss at work.,"She has a crush on her employee, Barry.",She knows that dating Barry is inappropriate.,Erin has to keep a professional distance when talking to Barry.,She is very sad that she cannot be honest with Barry.
91e5861c-0fae-441e-8830-ec78dbd047ac,Meg and Will,Meg really wanted to get married.,She met a man named Will and they soon got engaged.,Meg and Will had a beautiful wedding.,"A few months later, Meg got pregnant.","She gave birth to their son, Billy."
a8a26e96-2f97-42bc-bbc3-654d704b01a4,Nicole's Boyfriend,Nicole did not have a serious boyfriend.,She went on many dates but was not committed.,She was at a bar one night and met a man she was interested in.,They began dating.,Nicole just got engaged to be married.
e0b4475c-e863-40b7-93e3-ad7288fcd107,Hannah and Nate,Hannah met Nate half a decade ago.,They have been dating ever since.,Hannah desperately wants to get engaged.,Nate does not propose to her.,Hannah breaks up with Nate because he didn't propose.
